No.,건물명,용도코드,용도군,면적,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12
1,외솔관,3,복합용도,"8,281.79 ","45,100 ","37,060 ","37,010 ","38,410 ","31,410 ","33,210 ","40,210 ","44,930 ","33,950 ","35,450 ","34,850 ","41,670 ","33,790 ","30,430 ","34,160 ","40,670 ","37,420 ","33,360 ","31,451 ","41,980 ","49,800 "
2,위당관,3,복합용도,"8,635.84 ","70,648 ","53,179 ","51,467 ","37,896 ","41,704 ","41,215 ","51,204 ","49,753 ","38,276 ","67,610 ","60,436 ","61,237 ","42,967 ","43,430 ","50,272 ","58,702 ","52,476 ","46,454 ","34,209 ","54,406 ","66,020 "
3,교육과학관,2,강의실,"7,121.39 ","49,852 ","35,761 ","42,923 ","40,694 ","40,286 ","35,375 ","36,386 ","31,317 ","44,774 ","44,540 ","37,914 ","46,493 ","40,243 ","37,740 ","34,368 ","33,828 ","27,104 ","35,386 ","33,451 ","45,814 ","51,580 "
4,대우관,2,강의실,"33,386.60 ","196,849 ","154,540 ","159,498 ","139,200 ","134,609 ","160,816 ","173,858 ","166,353 ","155,573 ","151,926 ","147,463 ","160,577 ","113,074 ","124,004 ","163,200 ","151,305 ","137,689 ","136,106 ","94,583 ","149,356 ","186,212 "
5,과학관,1,연구행정,"21,389.56 ","362,289 ","338,910 ","346,245 ","324,792 ","328,976 ","384,532 ","415,834 ","442,344 ","304,175 ","297,000 ","286,200 ","322,200 ","289,800 ","308,700 ","357,300 ","353,700 ","357,300 ","318,600 ","315,900 ","317,700 ","382,000 "
6,과학원,3,복합용도,"13,916.96 ","368,653 ","331,484 ","346,506 ","337,168 ","384,670 ","456,440 ","507,840 ","544,299 ","376,226 ","309,897 ","304,102 ","328,748 ","272,890 ","312,580 ","396,390 ","417,600 ","412,270 ","343,970 ","312,180 ","321,031 ","364,382 "
7,제1공학관,2,강의실,"21,191.66 ","103,500 ","98,100 ","93,600 ","98,100 ","95,400 ","108,000 ","139,500 ","144,000 ","116,100 ","96,060 ","93,240 ","98,100 ","81,000 ","103,500 ","95,400 ","111,600 ","108,900 ","95,400 ","86,400 ","99,000 ","120,600 "
8,제2공학관,2,강의실,"14,776.47 ","255,600 ","237,600 ","219,600 ","234,000 ","216,000 ","237,600 ","298,800 ","302,400 ","255,600 ","269,940 ","241,200 ","244,800 ","216,000 ","288,000 ","307,800 ","307,800 ","324,000 ","273,600 ","241,200 ","244,800 ","277,200 "
9,제3공학관,2,강의실,"14,784.00 ","115,200 ","108,000 ","117,000 ","131,400 ","126,000 ","147,600 ","198,000 ","210,600 ","171,000 ","149,908 ","131,216 ","136,800 ","118,800 ","147,600 ","122,400 ","140,400 ","140,400 ","118,800 ","102,600 ","111,600 ","135,000 "
10,원두우,5,기타,"9,921.92 ","67,320 ","52,800 ","51,280 ","42,960 ","52,640 ","78,160 ","92,920 ","95,720 ","69,400 ","48,840 ","50,880 ","54,800 ","39,720 ","47,760 ","78,040 ","92,880 ","84,680 ","74,520 ","41,000 ","54,040 ","63,200 "
11,연희관,2,강의실,"6,659.61 ","45,262 ","33,354 ","35,597 ","34,498 ","32,246 ","32,830 ","37,762 ","37,913 ","35,381 ","40,012 ","37,823 ","41,918 ","32,434 ","30,535 ","37,753 ","34,590 ","35,798 ","35,550 ","28,113 ","42,787 ","46,877 "
12,빌링슬링관,2,강의실,"2,249.75 ","24,480 ","20,480 ","12,400 ","12,480 ","10,880 ","11,360 ","12,800 ","13,440 ","11,280 ","20,000 ","17,280 ","12,880 ","10,640 ","9,520 ","11,040 ","13,680 ","13,200 ","11,200 ","12,000 ","16,800 ","18,080 "
13,광복관,2,강의실,"11,858.61 ","119,234 ","94,229 ","84,603 ","64,554 ","73,313 ","93,807 ","107,287 ","113,599 ","75,111 ","105,213 ","90,621 ","90,715 ","55,272 ","71,200 ","96,055 ","92,179 ","98,998 ","85,424 ","66,548 ","100,853 ","127,757 "
14,음악대,2,강의실,"8,804.69 ","67,367 ","52,828 ","43,414 ","28,458 ","35,149 ","41,555 ","42,245 ","49,865 ","35,951 ","51,715 ","50,349 ","43,883 ","23,168 ","28,534 ","30,663 ","39,187 ","36,925 ","40,103 ","31,100 ","48,269 ","64,682 "
15,삼성관,2,강의실,"11,334.76 ","81,000 ","77,400 ","81,000 ","75,600 ","75,600 ","77,400 ","84,600 ","104,400 ","75,600 ","79,200 ","70,200 ","82,800 ","72,000 ","70,200 ","77,400 ","73,800 ","79,200 ","70,200 ","75,600 ","88,200 ","93,600 "
16,경영관,3,복합용도,"20,134.75 ","164,610 ","123,058 ","136,538 ","120,627 ","132,587 ","154,428 ","191,477 ","174,689 ","161,921 ","148,552 ","125,619 ","145,813 ","101,032 ","115,956 ","149,385 ","206,928 ","179,524 ","166,582 ","123,410 ","145,363 ","166,430 "
17,새천년관,3,복합용도,"14,201.07 ","74,694 ","57,283 ","65,136 ","61,403 ","59,155 ","61,505 ","74,042 ","71,751 ","64,056 ","67,433 ","67,785 ","73,817 ","58,973 ","63,460 ","70,870 ","71,000 ","73,486 ","70,928 ","52,989 ","69,213 ","73,399 "
18,언어연구교육,3,복합용도,"8,397.36 ","51,590 ","38,324 ","37,199 ","30,932 ","30,902 ","45,424 ","56,262 ","51,704 ","35,175 ","46,710 ","38,141 ","42,328 ","31,484 ","30,828 ","49,888 ","59,123 ","55,960 ","44,914 ","22,725 ","39,949 ","46,050 "
19,중앙도서관,5,기타,"19,359.24 ","244,000 ","227,805 ","240,323 ","270,647 ","327,392 ","427,047 ","422,021 ","451,640 ","253,615 ","257,000 ","242,000 ","292,000 ","298,000 ","349,000 ","455,000 ","437,000 ","468,000 ","468,000 ","313,000 ","277,000 ","275,000 "
20,무악5학사,4,기숙사,"6,451.09 ","46,335 ","39,144 ","42,253 ","37,250 ","38,255 ","48,853 ","59,211 ","61,839 ","40,947 ","32,653 ","24,453 ","27,636 ","25,039 ","30,565 ","41,160 ","57,053 ","56,634 ","48,698 ","35,365 ","45,177 ","48,475 "
21,학생회관,1,연구행정,"11,853.93 ","301,013 ","248,188 ","201,386 ","194,222 ","151,885 ","175,792 ","220,086 ","201,030 ","156,547 ","233,487 ","239,441 ","228,829 ","158,899 ","153,027 ","191,661 ","208,497 ","213,716 ","179,833 ","138,997 ","222,175 ","294,403 "
22,루스채플,1,연구행정,"2,495.32 ","35,214 ","32,400 ","21,708 ","12,543 ","8,683 ","11,014 ","13,588 ","17,928 ","9,568 ","28,783 ","31,838 ","23,396 ","10,371 ","8,282 ","11,576 ","16,804 ","17,526 ","10,452 ","8,361 ","25,085 ","41,888 "
23,생활관,4,기숙사,"32,448.25 ","287,912 ","211,690 ","180,194 ","134,038 ","116,260 ","137,813 ","205,737 ","208,594 ","145,310 ","142,692 ","128,280 ","186,500 ","135,640 ","121,093 ","157,023 ","202,316 ","176,818 ","141,948 ","138,420 ","213,422 ","288,363 "
24,상남경영관,3,복합용도,"6,025.89 ","63,980 ","47,912 ","55,714 ","49,964 ","58,060 ","72,768 ","76,652 ","69,129 ","43,229 ","62,984 ","67,259 ","71,752 ","62,204 ","74,762 ","83,408 ","93,471 ","86,434 ","79,578 ","55,404 ","72,984 ","75,910 "
25,공학원,1,연구행정,"66,829.80 ","602,285 ","576,569 ","468,791 ","487,084 ","487,830 ","556,907 ","675,815 ","678,383 ","557,041 ","600,150 ","584,567 ","515,234 ","440,044 ","610,860 ","579,242 ","666,432 ","676,360 ","571,449 ","499,380 ","530,079 ","634,099 "
26,동문회관,1,연구행정,"7,462.18 ","96,084 ","81,972 ","82,728 ","71,952 ","78,204 ","106,080 ","110,760 ","117,252 ","96,936 ","86,182 ","86,304 ","82,265 ","74,820 ","80,818 ","98,688 ","103,680 ","95,664 ","93,348 ","66,756 ","85,572 ","106,956 "
27,산학협동연구관,1,연구행정,"8,935.31 ","65,695 ","59,044 ","55,474 ","54,660 ","55,100 ","64,120 ","79,920 ","86,300 ","61,260 ","80,612 ","78,800 ","84,485 ","61,160 ","82,500 ","72,420 ","92,360 ","95,860 ","68,600 ","61,020 ","59,553 ","72,555 "
28,첨단과학기술,1,연구행정,"15,925.18 ","598,000 ","563,000 ","544,714 ","487,000 ","556,000 ","636,000 ","694,000 ","786,000 ","535,000 ","637,000 ","452,000 ","530,000 ","487,000 ","524,000 ","642,000 ","678,000 ","708,000 ","584,000 ","573,000 ","512,000 ","604,000 "
29,백주년기념관,5,기타,"10,620.23 ","1,493,844 ","1,168,217 ","635,444 ","141,737 ","67,989 ","84,603 ","93,210 ","133,927 ","85,882 ","1,119,863 ","1,061,033 ","736,720 ","112,056 ","50,000 ","77,000 ","89,000 ","116,000 ","93,000 ","61,000 ","765,427 ","1,346,229 "
30,연세삼성학술정보관,5,기타,"34,236.96 ","290,852 ","272,489 ","247,617 ","220,325 ","259,257 ","364,715 ","373,108 ","412,991 ","310,020 ","266,747 ","263,676 ","273,647 ","217,201 ","265,000 ","374,000 ","361,000 ","392,000 ","385,000 ","211,000 ","260,548 ","303,491 "
31,재활학교,1,연구행정,"5,113.00 ","45,760 ","46,517 ","34,168 ","25,912 ","24,739 ","27,894 ","38,066 ","34,564 ","30,142 ","39,952 ","35,649 ","30,830 ","31,620 ","14,019 ","23,234 ","30,422 ","29,146 ","23,885 ","24,860 ","35,511 ","57,067 "
32,어린이생화지도,1,연구행정,"2,017.77 ","17,102 ","13,996 ","14,764 ","13,094 ","13,136 ","13,634 ","15,090 ","12,742 ","11,644 ","14,018 ","15,602 ","17,500 ","11,480 ","10,524 ","11,918 ","13,606 ","11,900 ","11,930 ","10,696 ","15,792 ","18,344 "
33,GS산학협력관,1,연구행정,"4,047.50 ","115,437 ","112,433 ","79,896 ","56,397 ","48,973 ","58,899 ","77,149 ","91,352 ","75,539 ","105,292 ","96,158 ","84,106 ","51,194 ","62,084 ","68,060 ","90,939 ","90,403 ","71,667 ","56,244 ","80,146 ","119,213 "
34,SK국제학사,4,기숙사,"23,300.61 ","327,884 ","246,973 ","188,488 ","140,484 ","129,363 ","157,157 ","211,108 ","202,700 ","157,816 ","275,810 ","226,313 ","213,725 ","139,589 ","124,629 ","153,077 ","204,856 ","162,323 ","145,190 ","143,336 ","220,003 ","312,728 "
35,유진어린이집,5,기타,"1,844.94 ","112,051 ","49,399 ","35,346 ","21,722 ","16,371 ","14,686 ","18,540 ","19,527 ","9,840 ","49,929 ","45,828 ","33,781 ","25,537 ","19,819 ","13,944 ","17,114 ","15,544 ","14,412 ","16,607 ","14,965 ","17,117 "
36,국제학사,4,연구행정,"3,498.54 ","68,175 ","58,775 ","41,410 ","32,351 ","24,565 ","37,503 ","52,974 ","51,904 ","36,368 ","59,624 ","50,672 ","44,249 ","28,029 ","29,384 ","41,301 ","53,199 ","42,269 ","35,511 ","28,530 ","51,796 ","69,669 "
37,영빈관,5,기타,529.51 ,"8,403 ","7,794 ","6,798 ","5,610 ","5,755 ","4,056 ","4,492 ","4,713 ","3,911 ","8,328 ","6,798 ","6,127 ","5,800 ","5,381 ","4,562 ","5,794 ","4,302 ","5,088 ","4,675 ","6,166 ","8,046 "
38,폐수처리장,5,기타,"1,670.00 ","9,600 ","10,000 ","8,600 ","10,400 ","8,600 ","9,800 ","9,200 ","9,000 ","9,200 ","15,600 ","13,400 ","10,400 ","10,200 ","13,200 ","12,200 ","12,800 ","9,200 ","8,200 ","8,800 ","10,200 ","9,600 "
39,백양관,1,연구행정,"10,673.34 ","1,336,489 ","1,051,127 ","679,604 ","141,404 ","58,760 ","63,240 ","80,400 ","84,480 ","57,920 ","1,195,981 ","1,047,279 ","821,152 ","146,054 ","55,400 ","66,640 ","79,320 ","73,400 ","63,680 ","55,240 ","703,414 ","1,231,360 "
40,스포츠과학관,5,기타,"6,469.37 ","170,646 ","134,069 ","123,902 ","96,306 ","89,091 ","81,636 ","52,224 ","56,394 ","17,054 ","153,389 ","136,189 ","145,618 ","100,851 ","104,995 ","97,844 ","56,504 ","51,985 ","61,087 ","77,786 ","124,690 ","153,956 "
41,체육교육관,5,기타,"2,404.30 ","11,470 ","7,770 ","10,820 ","13,420 ","11,330 ","11,560 ","14,160 ","14,430 ","12,360 ","13,880 ","9,450 ","13,520 ","11,510 ","11,420 ","14,010 ","13,860 ","12,530 ","12,430 ","11,820 ","12,730 ","13,790 "
42,제중학사,4,기숙사,"30,081.69 ","192,397 ","167,458 ","181,042 ","97,744 ","111,368 ","172,799 ","219,055 ","206,295 ","120,396 ","87,215 ","114,851 ","103,469 ","114,647 ","119,207 ","143,307 ","216,037 ","212,563 ","162,062 ","133,170 ","169,565 ","200,491 "
43,본관,1,연구행정,"2,707.45 ","54,169 ","38,521 ","28,238 ","23,544 ","19,706 ","42,000 ","32,656 ","36,307 ","21,990 ","63,630 ","63,300 ","50,910 ","29,970 ","25,225 ","24,416 ","25,627 ","21,566 ","22,169 ","17,591 ","32,711 ","53,166 "
44,미우관,4,기숙사,"2,039.67 ","23,205 ","18,325 ","15,110 ","7,140 ","5,415 ","4,877 ","5,466 ","3,736 ",632 ,"24,996 ","24,648 ","19,571 ","9,431 ","7,096 ","8,919 ","9,621 ","7,800 ","8,649 ","7,430 ","14,040 ","22,851 "
45,법현학사,4,기숙사,"11,688.42 ","68,696 ","54,574 ","90,058 ","70,994 ","65,668 ","59,397 ","42,833 ","49,559 ",0 ,"8,054 ","33,007 ","110,117 ","68,624 ","55,364 ","46,687 ","38,118 ","37,842 ","44,700 ","53,891 ","62,772 ","73,782 "
46,학군단,3,복합용도,"1,290.58 ","54,503 ","26,631 ","17,551 ","7,828 ","5,461 ","4,579 ","4,408 ","1,880 ","2,740 ","44,825 ","46,528 ","35,432 ","10,949 ","5,181 ","5,507 ","3,801 ","3,205 ","5,135 ","5,421 ","29,908 ","42,542 "
47,한경관,5,기타,"1,014.88 ","15,942 ","12,005 ","9,175 ","6,664 ","6,723 ","7,158 ","12,455 ","13,644 ","7,470 ","12,120 ","11,990 ","11,400 ","11,481 ","11,010 ","8,372 ","13,888 ","10,029 ","7,432 ","5,888 ","9,935 ","13,665 "
48,대창고,5,기타,"1,258.94 ","17,640 ","14,640 ","13,380 ","12,360 ","11,640 ","8,940 ","9,360 ","9,960 ","7,980 ","9,900 ","12,120 ","14,220 ","10,140 ","9,180 ","7,320 ","7,740 ","10,020 ","7,380 ","10,260 ","13,620 ","15,600 "
49,체육관,5,기타,"2,984.48 ","22,520 ","33,100 ","26,960 ","13,910 ","11,120 ","11,080 ","36,190 ","35,810 ","24,730 ","22,270 ","28,620 ","21,560 ","4,790 ","7,880 ","17,060 ","13,250 ","26,260 ","14,990 ","3,470 ","16,070 ","43,350 "
50,우정원학생기숙사,4,기숙사,"6,612.06 ","76,923 ","65,431 ","61,774 ","37,776 ","41,652 ","58,955 ","65,059 ","67,794 ","55,767 ","66,527 ","58,961 ","65,034 ","47,489 ","36,754 ","56,542 ","62,601 ","61,806 ","50,362 ","36,052 ","56,634 ","77,606 "
51,백양누리,1,연구행정,"52,909.40 ","330,414 ","280,687 ","249,517 ","196,342 ","236,053 ","278,529 ","307,113 ","348,786 ","264,114 ","302,000 ","290,000 ","266,000 ","200,000 ","240,000 ","293,000 ","295,000 ","305,000 ","288,000 ","219,000 ","252,000 ","339,000 "
52,금호아트홀,5,기타,"5,833.33 ","10,996 ","9,789 ","10,250 ","10,724 ","13,611 ","16,867 ","17,927 ","19,844 ","15,907 ","9,069 ","9,876 ","11,380 ","11,070 ","11,340 ","13,241 ","12,860 ","14,362 ","16,125 ","13,613 ","12,375 ","12,185 "
53,노천극장,5,기타,"1,768.42 ","13,200 ","9,600 ","9,600 ","7,200 ","12,000 ","6,000 ","6,000 ","7,200 ","10,800 ","14,400 ","12,000 ","12,000 ","10,800 ","13,200 ","6,000 ","7,200 ","7,200 ","8,400 ","7,200 ","8,400 ","10,800 "
54,대강당,5,기타,"5,378.93 ","23,930 ","19,250 ","24,150 ","19,480 ","22,920 ","21,120 ","45,580 ","55,850 ","22,790 ","22,840 ","22,220 ","21,880 ","14,830 ","15,980 ","27,640 ","32,440 ","34,150 ","20,260 ","10,240 ","23,070 ","27,320 "
55,양수장,5,기타,0.00 ,"33,300 ","30,600 ","36,000 ","42,750 ","38,700 ","39,150 ","43,200 ","41,400 ","41,850 ","31,050 ","29,250 ","37,800 ","37,350 ","45,450 ","40,950 ","41,400 ","39,150 ","43,200 ","39,600 ","41,400 ","40,950 "
56,연세우유,5,기타,"2,537.69 ","42,360 ","35,760 ","28,800 ","22,920 ","22,440 ","14,640 ","18,360 ","23,880 ","13,320 ","32,880 ","36,240 ","34,560 ","20,280 ","18,360 ","20,640 ","25,320 ","27,840 ","18,480 ","21,960 ","27,960 ","39,600 "
57,유억겸기념관,5,기타,"2,078.65 ","12,660 ","9,460 ","10,320 ","9,160 ","8,760 ","9,020 ","10,500 ","10,480 ","9,080 ","9,500 ","9,460 ","11,100 ","9,100 ","8,700 ","9,260 ","10,620 ","9,880 ","9,140 ","8,480 ","13,080 ","12,640 "
58,핀슨홀,1,연구행정,740.50 ,"1,660 ","1,100 ",860 ,900 ,660 ,"1,240 ","2,980 ","3,200 ","1,040 ","1,940 ","1,320 ","1,000 ",740 ,680 ,"1,500 ","2,420 ","2,420 ","1,020 ",740 ,"1,260 ","1,120 "
59,총장공관,5,기타,555.36 ,"20,982 ","16,611 ","10,797 ","6,695 ","3,301 ","2,453 ","2,724 ","3,188 ","1,034 ","17,654 ","13,604 ","11,075 ","4,772 ","2,696 ","2,505 ","2,917 ","2,744 ","2,156 ","4,413 ","11,710 ","18,079 "
60,스팀슨관,1,연구행정,"1,153.72 ","13,200 ","10,920 ","8,010 ","5,520 ","4,200 ","4,350 ","6,000 ","7,020 ","5,070 ","10,770 ","9,900 ","9,090 ","4,830 ","4,080 ","2,970 ","5,190 ","5,100 ","4,050 ","3,750 ","9,180 ","12,060 "
61,아펜젤러관,1,연구행정,"1,659.51 ","24,448 ","17,971 ","14,532 ","9,988 ","8,724 ","9,112 ","10,671 ","11,061 ","9,222 ",0 ,0 ,0 ,0 ,0 ,0 ,"9,054 ","8,815 ","8,231 ","7,608 ","14,437 ","20,561 "
62,KVN 전파천문대,5,기타,638.08 ,"37,562 ","36,981 ","32,579 ","31,120 ","32,381 ","36,104 ","33,460 ","30,585 ","36,570 ","37,961 ","36,006 ","38,096 ","33,401 ","34,330 ","33,410 ","35,312 ","38,000 ","31,074 ","34,316 ","32,186 ","33,000 "
63,성암관,1,연구행정,"1,117.10 ","17,383 ","14,188 ","12,820 ","10,148 ","6,940 ","6,853 ","9,473 ","11,612 ","8,118 ",0 ,0 ,0 ,0 ,0 ,0 ,"8,129 ","7,719 ","6,350 ","8,251 ","15,672 ","18,613 "
64,아식연구소,1,연구행정,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
65,알렌관,5,기타,"1,695.67 ","52,790 ","45,865 ","39,513 ","38,750 ","35,364 ","33,529 ","37,545 ","39,245 ","25,805 ","45,868 ","50,468 ","47,851 ","36,637 ","39,865 ","43,818 ","40,401 ","33,009 ","37,911 ","35,490 ","45,496 ","44,383 "
66,제4공학관,1,연구행정,"16,069.86 ","208,286 ","198,270 ","172,935 ","121,267 ","127,046 ","178,738 ","244,317 ","275,674 ","203,268 ",0 ,"21,518 ","24,917 ","4,799 ",36 ,0 ,"181,251 ","186,044 ","159,003 ","114,419 ","151,955 ","252,404 "
67,IBS관 ,3,복합용도,0.00 ,0 ,0 ,0 ,"40,771 ","17,850 ","20,506 ","21,946 ","31,671 ","25,414 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 